text,imageURN,folioReference
urn:cts:greekLit:tlg5026.msA.hmt:8.1,"urn:cite:hmt:vaimg.VA100VN-0603@0.1775,0.3376,0.233,0.0612",urn:cite:hmt:msA.100v
urn:cts:greekLit:tlg5026.msA.hmt:8.2,"urn:cite:hmt:vaimg.VA100VN-0603@0.194,0.3883,0.229,0.1115",urn:cite:hmt:msA.100v
urn:cts:greekLit:tlg5026.msA.hmt:8.3,"urn:cite:hmt:vaimg.VA100VN-0603@0.19,0.4825,0.2215,0.0631",urn:cite:hmt:msA.100v
urn:cts:greekLit:tlg5026.msA.hmt:8.4,"urn:cite:hmt:vaimg.VA100VN-0603@0.1865,0.5276,0.224,0.1044",urn:cite:hmt:msA.100v
urn:cts:greekLit:tlg5026.msA.hmt:8.5,"urn:cite:hmt:vaimg.VA100VN-0603@0.188,0.6117,0.6995,0.1923",urn:cite:hmt:msA.100v
urn:cts:greekLit:tlg5026.msA.hmt:8.6,"urn:cite:hmt:vaimg.VA100VN-0603@0.1875,0.7784,0.715,0.1427",urn:cite:hmt:msA.100v
urn:cts:greekLit:tlg5026.msA.hmt:8.12,"urn:cite:hmt:vaimg.VA101RN-0273@0.1823,0.1197,0.6467,0.0375",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.13,"urn:cite:hmt:vaimg.VA101RN-0273@0.1938,0.137,0.6313,0.0444",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.14,"urn:cite:hmt:vaimg.VA101RN-0273@0.1907,0.1606,0.6352,0.0496",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.15,"urn:cite:hmt:vaimg.VA101RN-0273@0.1884,0.197,0.6497,0.0369",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.16,"urn:cite:hmt:vaimg.VA101RN-0273@0.6301,0.2227,0.1992,0.0905",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.17,"urn:cite:hmt:vaimg.VA101RN-0273@0.6166,0.2964,0.2181,0.1307",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.18,"urn:cite:hmt:vaimg.VA101RN-0273@0.6187,0.421,0.2027,0.1078",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.19,"urn:cite:hmt:vaimg.VA101RN-0273@0.6187,0.5142,0.2027,0.0542",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.4000,"urn:cite:hmt:vaimg.VA101RN-0273@0.6171,0.5615,0.2027,0.05",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.20,"urn:cite:hmt:vaimg.VA101RN-0273@0.6092,0.6041,0.2144,0.1046",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.21,"urn:cite:hmt:vaimg.VA101RN-0273@0.1688,0.7078,0.6597,0.0667",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.22,"urn:cite:hmt:vaimg.VA101RN-0273@0.2651,0.7563,0.5285,0.0269",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.23,"urn:cite:hmt:vaimg.VA101RN-0273@0.1642,0.7616,0.669,0.0515",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.24,"urn:cite:hmt:vaimg.VA101RN-0273@0.1681,0.8008,0.6535,0.0339",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.25,"urn:cite:hmt:vaimg.VA101RN-0273@0.1665,0.8177,0.6651,0.0357",urn:cite:hmt:msA.101r
urn:cts:greekLit:tlg5026.msA.hmt:8.41,"urn:cite:hmt:vaimg.VA101VN-0604@0.1794,0.1322,0.6869,0.0571",urn:cite:hmt:msA.101v
urn:cts:greekLit:tlg5026.msA.hmt:8.42,"urn:cite:hmt:vaimg.VA101VN-0604@0.1886,0.1643,0.678,0.0395",urn:cite:hmt:msA.101v
urn:cts:greekLit:tlg5026.msA.hmt:8.43,"urn:cite:hmt:vaimg.VA101VN-0604@0.1851,0.1852,0.6817,0.0474",urn:cite:hmt:msA.101v
urn:cts:greekLit:tlg5026.msA.hmt:8.44,"urn:cite:hmt:vaimg.VA101VN-0604@0.18,0.2135,0.6737,0.1195",urn:cite:hmt:msA.101v
urn:cts:greekLit:tlg5026.msA.hmt:8.45,"urn:cite:hmt:vaimg.VA101VN-0604@0.1846,0.4638,0.2237,0.0772",urn:cite:hmt:msA.101v
urn:cts:greekLit:tlg5026.msA.hmt:8.46,"urn:cite:hmt:vaimg.VA101VN-0604@0.1897,0.5293,0.2331,0.0663",urn:cite:hmt:msA.101v
urn:cts:greekLit:tlg5026.msA.hmt:8.47,"urn:cite:hmt:vaimg.VA101VN-0604@0.1906,0.5784,0.2386,0.074",urn:cite:hmt:msA.101v
urn:cts:greekLit:tlg5026.msA.hmt:8.48,"urn:cite:hmt:vaimg.VA101VN-0604@0.1889,0.6451,0.2334,0.0644",urn:cite:hmt:msA.101v
urn:cts:greekLit:tlg5026.msA.hmt:8.49,"urn:cite:hmt:vaimg.VA101VN-0604@0.1869,0.6968,0.2537,0.0729",urn:cite:hmt:msA.101v
urn:cts:greekLit:tlg5026.msA.hmt:8.50,"urn:cite:hmt:vaimg.VA101VN-0604@0.1909,0.7438,0.6123,0.0554",urn:cite:hmt:msA.101v
urn:cts:greekLit:tlg5026.msA.hmt:8.63,"urn:cite:hmt:vaimg.VA102RN-0274@0.1834,0.1,0.6292,0.0407",urn:cite:hmt:msA.102r
urn:cts:greekLit:tlg5026.msA.hmt:8.64,"urn:cite:hmt:vaimg.VA102RN-0274@0.1895,0.1195,0.5605,0.0309",urn:cite:hmt:msA.102r
urn:cts:greekLit:tlg5026.msA.hmt:8.65,"urn:cite:hmt:vaimg.VA102RN-0274@0.1849,0.1384,0.6383,0.043",urn:cite:hmt:msA.102r
urn:cts:greekLit:tlg5026.msA.hmt:8.5000,"urn:cite:hmt:vaimg.VA102RN-0274@0.5823,0.159,0.2105,0.0246",urn:cite:hmt:msA.102r
urn:cts:greekLit:tlg5026.msA.hmt:8.66,"urn:cite:hmt:vaimg.VA102RN-0274@0.1842,0.1693,0.6406,0.0642",urn:cite:hmt:msA.102r
urn:cts:greekLit:tlg5026.msA.hmt:8.67,"urn:cite:hmt:vaimg.VA102RN-0274@0.6211,0.2243,0.2212,0.1461",urn:cite:hmt:msA.102r
urn:cts:greekLit:tlg5026.msA.hmt:8.68,"urn:cite:hmt:vaimg.VA102RN-0274@0.6457,0.5515,0.2061,0.058",urn:cite:hmt:msA.102r
urn:cts:greekLit:tlg5026.msA.hmt:8.69,"urn:cite:hmt:vaimg.VA102RN-0274@0.6286,0.6009,0.2215,0.0513",urn:cite:hmt:msA.102r
urn:cts:greekLit:tlg5026.msA.hmt:8.70,"urn:cite:hmt:vaimg.VA102RN-0274@0.1881,0.6418,0.6807,0.1331",urn:cite:hmt:msA.102r
urn:cts:greekLit:tlg5026.msA.hmt:8.78,"urn:cite:hmt:vaimg.VA102VN-0605@0.1723,0.1311,0.2397,0.1821",urn:cite:hmt:msA.102v
urn:cts:greekLit:tlg5026.msA.hmt:8.79,"urn:cite:hmt:vaimg.VA102VN-0605@0.4203,0.1236,0.4329,0.0702",urn:cite:hmt:msA.102v
urn:cts:greekLit:tlg5026.msA.hmt:8.80,"urn:cite:hmt:vaimg.VA102VN-0605@0.4317,0.1828,0.4271,0.0433",urn:cite:hmt:msA.102v
urn:cts:greekLit:tlg5026.msA.hmt:8.81,"urn:cite:hmt:vaimg.VA102VN-0605@0.1843,0.3051,0.226,0.0586",urn:cite:hmt:msA.102v
urn:cts:greekLit:tlg5026.msA.hmt:8.82,"urn:cite:hmt:vaimg.VA102VN-0605@0.1829,0.3536,0.2394,0.0635",urn:cite:hmt:msA.102v
urn:cts:greekLit:tlg5026.msA.hmt:8.83,"urn:cite:hmt:vaimg.VA102VN-0605@0.1874,0.4096,0.2391,0.1281",urn:cite:hmt:msA.102v
urn:cts:greekLit:tlg5026.msA.hmt:8.84,"urn:cite:hmt:vaimg.VA102VN-0605@0.1963,0.5128,0.2423,0.08",urn:cite:hmt:msA.102v
urn:cts:greekLit:tlg5026.msA.hmt:8.85,"urn:cite:hmt:vaimg.VA102VN-0605@0.1954,0.5816,0.2429,0.1437",urn:cite:hmt:msA.102v
urn:cts:greekLit:tlg5026.msA.hmt:8.86,"urn:cite:hmt:vaimg.VA102VN-0605@0.1897,0.7124,0.4833,0.0568",urn:cite:hmt:msA.102v
urn:cts:greekLit:tlg5026.msA.hmt:8.9000,"urn:cite:hmt:vaimg.VA102VN-0605@0.1943,0.7362,0.6883,0.0693",urn:cite:hmt:msA.102v
urn:cts:greekLit:tlg5026.msA.hmt:8.87,"urn:cite:hmt:vaimg.VA102VN-0605@0.1991,0.776,0.6737,0.0466",urn:cite:hmt:msA.102v
urn:cts:greekLit:tlg5026.msA.hmt:8.88,"urn:cite:hmt:vaimg.VA102VN-0605@0.194,0.7921,0.6834,0.0817",urn:cite:hmt:msA.102v
urn:cts:greekLit:tlg5026.msA.hmt:8.101,"urn:cite:hmt:vaimg.VA103RN-0275@0.6206,0.411,0.2142,0.0834",urn:cite:hmt:msA.103r
urn:cts:greekLit:tlg5026.msA.hmt:8.102,"urn:cite:hmt:vaimg.VA103RN-0275@0.6276,0.4823,0.2142,0.0706",urn:cite:hmt:msA.103r
urn:cts:greekLit:tlg5026.msA.hmt:8.103,"urn:cite:hmt:vaimg.VA103RN-0275@0.6266,0.5417,0.2222,0.1127",urn:cite:hmt:msA.103r
urn:cts:greekLit:tlg5026.msA.hmt:8.104,"urn:cite:hmt:vaimg.VA103RN-0275@0.6136,0.6461,0.2362,0.0383",urn:cite:hmt:msA.103r
urn:cts:greekLit:tlg5026.msA.hmt:8.105,"urn:cite:hmt:vaimg.VA103RN-0275@0.6086,0.6724,0.2402,0.0676",urn:cite:hmt:msA.103r
urn:cts:greekLit:tlg5026.msA.hmt:8.106,"urn:cite:hmt:vaimg.VA103RN-0275@0.1752,0.7258,0.6657,0.0481",urn:cite:hmt:msA.103r
urn:cts:greekLit:tlg5026.msA.hmt:8.107,"urn:cite:hmt:vaimg.VA103RN-0275@0.1702,0.7483,0.6707,0.0503",urn:cite:hmt:msA.103r
urn:cts:greekLit:tlg5026.msA.hmt:8.116,"urn:cite:hmt:vaimg.VA103VN-0606@0.204,0.2497,0.1809,0.0802",urn:cite:hmt:msA.103v
urn:cts:greekLit:tlg5026.msA.hmt:8.117,"urn:cite:hmt:vaimg.VA103VN-0606@0.206,0.3207,0.1889,0.0637",urn:cite:hmt:msA.103v
urn:cts:greekLit:tlg5026.msA.hmt:8.118,"urn:cite:hmt:vaimg.VA103VN-0606@0.2014,0.3735,0.1989,0.1189",urn:cite:hmt:msA.103v
urn:cts:greekLit:tlg5026.msA.hmt:8.119,"urn:cite:hmt:vaimg.VA103VN-0606@0.1986,0.4737,0.2094,0.0897",urn:cite:hmt:msA.103v
urn:cts:greekLit:tlg5026.msA.hmt:8.120,"urn:cite:hmt:vaimg.VA103VN-0606@0.2194,0.7361,0.6097,0.0665",urn:cite:hmt:msA.103v
urn:cts:greekLit:tlg5026.msA.hmt:8.121,"urn:cite:hmt:vaimg.VA103VN-0606@0.2329,0.7674,0.5966,0.0485",urn:cite:hmt:msA.103v
urn:cts:greekLit:tlg5026.msA.hmt:8.122,"urn:cite:hmt:vaimg.VA103VN-0606@0.2137,0.7979,0.6314,0.0498",urn:cite:hmt:msA.103v
urn:cts:greekLit:tlg5026.msA.hmt:8.131,"urn:cite:hmt:vaimg.VA104RN-0276@0.1762,0.1103,0.6368,0.0527",urn:cite:hmt:msA.104r
urn:cts:greekLit:tlg5026.msA.hmt:8.132,"urn:cite:hmt:vaimg.VA104RN-0276@0.1935,0.1465,0.6173,0.0453",urn:cite:hmt:msA.104r
urn:cts:greekLit:tlg5026.msA.hmt:8.133,"urn:cite:hmt:vaimg.VA104RN-0276@0.1852,0.1698,0.6486,0.1931",urn:cite:hmt:msA.104r
urn:cts:greekLit:tlg5026.msA.hmt:8.134,"urn:cite:hmt:vaimg.VA104RN-0276@0.5971,0.3421,0.2289,0.0367",urn:cite:hmt:msA.104r
urn:cts:greekLit:tlg5026.msA.hmt:8.135,"urn:cite:hmt:vaimg.VA104RN-0276@0.6047,0.3731,0.2286,0.0828",urn:cite:hmt:msA.104r
urn:cts:greekLit:tlg5026.msA.hmt:8.136,"urn:cite:hmt:vaimg.VA104RN-0276@0.6107,0.4498,0.2406,0.164",urn:cite:hmt:msA.104r
urn:cts:greekLit:tlg5026.msA.hmt:8.137,"urn:cite:hmt:vaimg.VA104RN-0276@0.5996,0.5965,0.2368,0.0833",urn:cite:hmt:msA.104r
urn:cts:greekLit:tlg5026.msA.hmt:8.138,"urn:cite:hmt:vaimg.VA104RN-0276@0.6097,0.6749,0.2195,0.058",urn:cite:hmt:msA.104r
urn:cts:greekLit:tlg5026.msA.hmt:8.139,"urn:cite:hmt:vaimg.VA104RN-0276@0.1712,0.7275,0.6556,0.0386",urn:cite:hmt:msA.104r
urn:cts:greekLit:tlg5026.msA.hmt:8.140,"urn:cite:hmt:vaimg.VA104RN-0276@0.1742,0.7494,0.6556,0.0345",urn:cite:hmt:msA.104r
urn:cts:greekLit:tlg5026.msA.hmt:8.146,"urn:cite:hmt:vaimg.VA104VN-0607@0.1814,0.1319,0.6766,0.0416",urn:cite:hmt:msA.104v
urn:cts:greekLit:tlg5026.msA.hmt:8.147,"urn:cite:hmt:vaimg.VA104VN-0607@0.1909,0.1476,0.6766,0.0378",urn:cite:hmt:msA.104v
urn:cts:greekLit:tlg5026.msA.hmt:8.148,"urn:cite:hmt:vaimg.VA104VN-0607@0.1889,0.1749,0.6297,0.0215",urn:cite:hmt:msA.104v
urn:cts:greekLit:tlg5026.msA.hmt:8.149,"urn:cite:hmt:vaimg.VA104VN-0607@0.1863,0.1832,0.6877,0.0348",urn:cite:hmt:msA.104v
urn:cts:greekLit:tlg5026.msA.hmt:8.9011,"urn:cite:hmt:vaimg.VA104VN-0607@0.1791,0.1946,0.698,0.0862",urn:cite:hmt:msA.104v
urn:cts:greekLit:tlg5026.msA.hmt:8.150,"urn:cite:hmt:vaimg.VA104VN-0607@0.178,0.5115,0.2226,0.0521",urn:cite:hmt:msA.104v
urn:cts:greekLit:tlg5026.msA.hmt:8.151,"urn:cite:hmt:vaimg.VA104VN-0607@0.1754,0.554,0.2383,0.0869",urn:cite:hmt:msA.104v
urn:cts:greekLit:tlg5026.msA.hmt:8.152,"urn:cite:hmt:vaimg.VA104VN-0607@0.1637,0.6258,0.7217,0.1783",urn:cite:hmt:msA.104v
urn:cts:greekLit:tlg5026.msA.hmt:8.153,"urn:cite:hmt:vaimg.VA104VN-0607@0.1857,0.7732,0.6989,0.0624",urn:cite:hmt:msA.104v
urn:cts:greekLit:tlg5026.msA.hmt:8.154,"urn:cite:hmt:vaimg.VA104VN-0607@0.1846,0.8148,0.7011,0.0706",urn:cite:hmt:msA.104v
urn:cts:greekLit:tlg5026.msA.hmt:8.155,"urn:cite:hmt:vaimg.VA104VN-0607@0.1883,0.8558,0.7006,0.0594",urn:cite:hmt:msA.104v
urn:cts:greekLit:tlg5026.msA.hmt:8.162,"urn:cite:hmt:vaimg.VA105RN-0277@0.1898,0.1152,0.6287,0.066",urn:cite:hmt:msA.105r
urn:cts:greekLit:tlg5026.msA.hmt:8.163,"urn:cite:hmt:vaimg.VA105RN-0277@0.1948,0.1563,0.6222,0.0384",urn:cite:hmt:msA.105r
urn:cts:greekLit:tlg5026.msA.hmt:8.164,"urn:cite:hmt:vaimg.VA105RN-0277@0.1892,0.1698,0.6396,0.0887",urn:cite:hmt:msA.105r
urn:cts:greekLit:tlg5026.msA.hmt:8.165,"urn:cite:hmt:vaimg.VA105RN-0277@0.6094,0.2508,0.2083,0.0416",urn:cite:hmt:msA.105r
urn:cts:greekLit:tlg5026.msA.hmt:8.166,"urn:cite:hmt:vaimg.VA105RN-0277@0.6134,0.2854,0.2083,0.051",urn:cite:hmt:msA.105r
urn:cts:greekLit:tlg5026.msA.hmt:8.167,"urn:cite:hmt:vaimg.VA105RN-0277@0.6111,0.3275,0.2137,0.1114",urn:cite:hmt:msA.105r
urn:cts:greekLit:tlg5026.msA.hmt:8.168,"urn:cite:hmt:vaimg.VA105RN-0277@0.6151,0.4303,0.2008,0.0641",urn:cite:hmt:msA.105r
urn:cts:greekLit:tlg5026.msA.hmt:8.169,"urn:cite:hmt:vaimg.VA105RN-0277@0.6243,0.4832,0.2055,0.0757",urn:cite:hmt:msA.105r
urn:cts:greekLit:tlg5026.msA.hmt:8.170,"urn:cite:hmt:vaimg.VA105RN-0277@0.6339,0.5528,0.1887,0.069",urn:cite:hmt:msA.105r
urn:cts:greekLit:tlg5026.msA.hmt:8.171,"urn:cite:hmt:vaimg.VA105RN-0277@0.612,0.6172,0.2162,0.1633",urn:cite:hmt:msA.105r
urn:cts:greekLit:tlg5026.msA.hmt:8.179,"urn:cite:hmt:vaimg.VA105VN-0608@0.188,0.1311,0.6763,0.0811",urn:cite:hmt:msA.105v
urn:cts:greekLit:tlg5026.msA.hmt:8.180,"urn:cite:hmt:vaimg.VA105VN-0608@0.1991,0.171,0.6671,0.0504",urn:cite:hmt:msA.105v
urn:cts:greekLit:tlg5026.msA.hmt:8.181,"urn:cite:hmt:vaimg.VA105VN-0608@0.1871,0.2047,0.4566,0.038",urn:cite:hmt:msA.105v
urn:cts:greekLit:tlg5026.msA.hmt:8.182,"urn:cite:hmt:vaimg.VA105VN-0608@0.1906,0.6104,0.216,0.077",urn:cite:hmt:msA.105v
urn:cts:greekLit:tlg5026.msA.hmt:8.183,"urn:cite:hmt:vaimg.VA105VN-0608@0.1977,0.675,0.2037,0.0508",urn:cite:hmt:msA.105v
urn:cts:greekLit:tlg5026.msA.hmt:8.194,"urn:cite:hmt:vaimg.VA106RN-0278@0.6338,0.3239,0.1955,0.0768",urn:cite:hmt:msA.106r
urn:cts:greekLit:tlg5026.msA.hmt:8.195,"urn:cite:hmt:vaimg.VA106RN-0278@0.6349,0.3943,0.1848,0.0432",urn:cite:hmt:msA.106r
urn:cts:greekLit:tlg5026.msA.hmt:8.196,"urn:cite:hmt:vaimg.VA106RN-0278@0.6301,0.4317,0.1967,0.0708",urn:cite:hmt:msA.106r
urn:cts:greekLit:tlg5026.msA.hmt:8.197,"urn:cite:hmt:vaimg.VA106RN-0278@0.1762,0.4951,0.6577,0.2667",urn:cite:hmt:msA.106r
urn:cts:greekLit:tlg5026.msA.hmt:8.198,"urn:cite:hmt:vaimg.VA106RN-0278@0.1672,0.747,0.6529,0.0276",urn:cite:hmt:msA.106r
urn:cts:greekLit:tlg5026.msA.hmt:8.199,"urn:cite:hmt:vaimg.VA106RN-0278@0.1672,0.7611,0.6623,0.0494",urn:cite:hmt:msA.106r
urn:cts:greekLit:tlg5026.msA.hmt:8.204,"urn:cite:hmt:vaimg.VA106VN-0609@0.1743,0.1341,0.6634,0.035",urn:cite:hmt:msA.106v
urn:cts:greekLit:tlg5026.msA.hmt:8.205,"urn:cite:hmt:vaimg.VA106VN-0609@0.1777,0.3958,0.226,0.2532",urn:cite:hmt:msA.106v
urn:cts:greekLit:tlg5026.msA.hmt:8.206,"urn:cite:hmt:vaimg.VA106VN-0609@0.1809,0.6203,0.2223,0.0622",urn:cite:hmt:msA.106v
urn:cts:greekLit:tlg5026.msA.hmt:8.207,"urn:cite:hmt:vaimg.VA106VN-0609@0.1829,0.6642,0.2406,0.0669",urn:cite:hmt:msA.106v
urn:cts:greekLit:tlg5026.msA.hmt:8.208,"urn:cite:hmt:vaimg.VA106VN-0609@0.182,0.7166,0.2883,0.0523",urn:cite:hmt:msA.106v
urn:cts:greekLit:tlg5026.msA.hmt:8.209,"urn:cite:hmt:vaimg.VA106VN-0609@0.4823,0.7273,0.3797,0.0399",urn:cite:hmt:msA.106v
urn:cts:greekLit:tlg5026.msA.hmt:8.210,"urn:cite:hmt:vaimg.VA106VN-0609@0.1877,0.7413,0.6866,0.0659",urn:cite:hmt:msA.106v
urn:cts:greekLit:tlg5026.msA.hmt:8.222,"urn:cite:hmt:vaimg.VA107RN-0279@0.1907,0.1152,0.6434,0.0589",urn:cite:hmt:msA.107r
urn:cts:greekLit:tlg5026.msA.hmt:8.223,"urn:cite:hmt:vaimg.VA107RN-0279@0.199,0.1594,0.6186,0.0396",urn:cite:hmt:msA.107r
urn:cts:greekLit:tlg5026.msA.hmt:8.224,"urn:cite:hmt:vaimg.VA107RN-0279@0.1982,0.182,0.6389,0.06",urn:cite:hmt:msA.107r
urn:cts:greekLit:tlg5026.msA.hmt:8.225,"urn:cite:hmt:vaimg.VA107RN-0279@0.6324,0.2403,0.2145,0.078",urn:cite:hmt:msA.107r
urn:cts:greekLit:tlg5026.msA.hmt:8.226,"urn:cite:hmt:vaimg.VA107RN-0279@0.6305,0.3141,0.2034,0.0509",urn:cite:hmt:msA.107r
urn:cts:greekLit:tlg5026.msA.hmt:8.227,"urn:cite:hmt:vaimg.VA107RN-0279@0.6269,0.4528,0.1938,0.0692",urn:cite:hmt:msA.107r
urn:cts:greekLit:tlg5026.msA.hmt:8.228,"urn:cite:hmt:vaimg.VA107RN-0279@0.6116,0.5192,0.2232,0.2044",urn:cite:hmt:msA.107r
urn:cts:greekLit:tlg5026.msA.hmt:8.9003,"urn:cite:hmt:vaimg.VA107RN-0279@0.1671,0.7146,0.6574,0.0662",urn:cite:hmt:msA.107r
urn:cts:greekLit:tlg5026.msA.hmt:8.229,"urn:cite:hmt:vaimg.VA107RN-0279@0.1693,0.7546,0.6434,0.0612",urn:cite:hmt:msA.107r
